model,price,transmission,mileage,fuelType,tax,mpg,engineSize,brand,car_age
 A1,9.433563920090563,Manual,9.663706360068895,Petrol,150.0,55.4,1.4,Audi,1.6094379124341003
 A6,9.711176264112805,Automatic,10.496924888947062,Diesel,95.0,64.2,2.0,Audi,1.791759469228055
 A1,9.305741456739435,Manual,10.307184431581645,Petrol,95.0,55.4,1.4,Audi,1.791759469228055
 A4,9.729193687429403,Automatic,10.164042488848484,Diesel,145.0,67.3,2.0,Audi,1.6094379124341003
 A3,9.758519582283522,Manual,7.6004023345004,Petrol,145.0,49.6,1.0,Audi,1.0986122886681098
 A1,9.539716058977092,Automatic,10.381614349338879,Petrol,95.0,58.9,1.4,Audi,1.791759469228055
 A6,9.491828300264636,Automatic,11.152579505377,Diesel,95.0,61.4,2.0,Audi,1.791759469228055
 A4,9.371693622333941,Manual,11.152579505377,Diesel,95.0,70.6,2.0,Audi,1.791759469228055
 A3,9.23024103368252,Manual,10.738850184893042,Petrol,95.0,60.1,1.4,Audi,1.9459101490553132
 A1,9.392745258631441,Manual,10.01913497606209,Petrol,95.0,55.4,1.4,Audi,1.791759469228055
 A3,9.686636660844938,Manual,10.273532715413031,Petrol,145.0,58.9,1.4,Audi,1.6094379124341003
 A6,9.711176264112805,Automatic,10.862818616599109,Diesel,125.0,57.6,2.0,Audi,1.791759469228055
 Q3,9.741027444837728,Manual,10.71254935769243,Diesel,145.0,52.3,2.0,Audi,1.791759469228055
 A3,9.70509758756311,Manual,9.984883190740122,Petrol,95.0,58.9,1.4,Audi,1.6094379124341003
 A6,9.642187721358466,Manual,10.765300979067026,Diesel,95.0,61.4,2.0,Audi,1.9459101490553132
 A3,9.581972891547895,Automatic,10.171872120095925,Petrol,145.0,58.9,1.4,Audi,1.6094379124341003
 Q3,9.661479683575521,Automatic,10.254038784766838,Diesel,145.0,53.3,2.0,Audi,1.791759469228055
 A3,9.539716058977092,Automatic,10.326039184367792,Petrol,95.0,56.5,1.4,Audi,2.0794415416798357
 Q5,9.852246888342531,Automatic,10.536167911328556,Diesel,175.0,47.1,2.0,Audi,1.791759469228055
 Q3,9.741027444837728,Manual,10.43737519189882,Petrol,145.0,47.9,1.4,Audi,2.0794415416798357
 A5,9.758519582283522,Automatic,10.521399202410167,Diesel,145.0,67.3,2.0,Audi,1.6094379124341003
 Q5,9.913487387114461,Automatic,10.073863038311682,Diesel,175.0,47.1,2.0,Audi,1.791759469228055
 A5,10.021315031649332,Automatic,9.982760733430636,Diesel,145.0,58.9,3.0,Audi,1.6094379124341003
 A6,9.770013301136158,Automatic,11.046897920612066,Diesel,150.0,53.3,3.0,Audi,1.9459101490553132
 Q5,9.90353755128617,Automatic,10.077020603297003,Diesel,175.0,47.1,2.0,Audi,1.791759469228055
 A4,9.825580063659602,Automatic,9.765316843477462,Diesel,145.0,62.8,2.0,Audi,1.6094379124341003
 A5,9.87822102528824,Automatic,10.413342705547674,Diesel,145.0,61.4,2.0,Audi,1.6094379124341003
 A1,9.6678285081515,Manual,9.286745703178589,Petrol,145.0,56.5,1.4,Audi,1.3862943611198906
 A4,9.75272280064639,Automatic,10.132175704105688,Diesel,145.0,70.6,2.0,Audi,1.3862943611198906
 A6,9.546884034617925,Manual,11.021526580870049,Diesel,95.0,62.8,2.0,Audi,1.9459101490553132
 A1,9.15915233520675,Automatic,10.91062396770986,Diesel,95.0,76.3,1.6,Audi,1.9459101490553132
 Q3,9.711176264112805,Manual,9.969743348313193,Petrol,125.0,51.4,1.4,Audi,1.6094379124341003
 Q3,9.61587214452889,Automatic,10.57620240758158,Diesel,175.0,47.9,2.0,Audi,2.0794415416798357
 Q3,9.680406499268875,Automatic,10.768127031226284,Petrol,150.0,47.9,1.4,Audi,1.6094379124341003
 Q3,9.735128070758227,Automatic,10.609106634591393,Diesel,150.0,51.4,2.0,Audi,1.791759469228055
 Q3,9.417435838868785,Automatic,10.67350317735265,Diesel,175.0,47.9,2.0,Audi,2.0794415416798357
 A1,9.287394001418473,Manual,10.356090667101697,Petrol,145.0,67.3,1.0,Audi,1.6094379124341003
 A6,9.873079890114703,Automatic,10.435027152899224,Diesel,125.0,58.9,2.0,Audi,1.791759469228055
 A4,9.680406499268875,Manual,10.277255573901037,Diesel,145.0,70.6,2.0,Audi,1.6094379124341003
 A3,9.746892220313054,Manual,10.293703649881554,Diesel,145.0,65.7,2.0,Audi,1.6094379124341003
 A3,9.332646496360152,Manual,11.152579505377,Diesel,95.0,68.9,2.0,Audi,1.9459101490553132
 Q3,9.75272280064639,Automatic,10.586685402242406,Diesel,160.0,50.4,2.0,Audi,1.791759469228055
 Q3,9.918425424900335,Automatic,10.66683687312301,Diesel,145.0,51.4,2.0,Audi,1.6094379124341003
 A5,9.488047863280759,Automatic,11.152579505377,Diesel,125.0,58.9,2.0,Audi,2.0794415416798357
 Q3,9.62911649414402,Automatic,10.981063453138141,Petrol,145.0,47.9,1.4,Audi,1.791759469228055
 A3,9.661479683575521,Manual,7.615791072035833,Petrol,145.0,49.6,1.0,Audi,1.0986122886681098
 A6,9.717218213494077,Automatic,10.04146529547803,Petrol,145.0,50.4,1.8,Audi,1.3862943611198906
